Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,Upper Name
JOURNAL OF INSECT PHYSIOLOGY,J INSECT PHYSIOL,PERGAMON-ELSEVIER SCIENCE LTD,0022-1910,1879-1611,ENTOMOLOGY,SCIE,"8,814",2.3,Q1,1.17,19.20%,JOURNAL OF INSECT PHYSIOLOGY
Journal of Pediatric Nursing-Nursing Care of Children & Families,J PEDIATR NURS,ELSEVIER SCIENCE INC,0882-5963,N/A,NURSING,"SCIE, SSCI","5,848",2.3,Q1,1.19,8.88%,JOURNAL OF PEDIATRIC NURSING-NURSING CARE OF CHILDREN & FAMILIES
MAMMALIAN BIOLOGY,MAMM BIOL,SPRINGER HEIDELBERG,1616-5047,1618-1476,ZOOLOGY,SCIE,"2,663",2.3,Q1,1.14,34.83%,MAMMALIAN BIOLOGY
Mathematical Sciences,MATH SCI,SPRINGER HEIDELBERG,2008-1359,2251-7456,MATHEMATICS,SCIE,724,2.3,Q1,1.48,6.67%,MATHEMATICAL SCIENCES
Mathematical Sciences,MATH SCI,SPRINGER HEIDELBERG,2008-1359,2251-7456,"MATHEMATICS, APPLIED",SCIE,724,2.3,Q1,1.48,6.67%,MATHEMATICAL SCIENCES
PAPERS IN REGIONAL SCIENCE,PAP REG SCI,ELSEVIER SCI LTD,1056-8190,1435-5957,GEOGRAPHY,SSCI,"2,881",2.3,Q1,0.64,70.77%,PAPERS IN REGIONAL SCIENCE
RESEARCH IN HIGHER EDUCATION,RES HIGH EDUC,SPRINGER,0361-0365,1573-188X,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"4,085",2.3,Q1,1.16,29.37%,RESEARCH IN HIGHER EDUCATION
RESEARCH IN SCIENCE EDUCATION,RES SCI EDUC,SPRINGER,0157-244X,1573-1898,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"4,282",2.3,Q1,1.26,41.28%,RESEARCH IN SCIENCE EDUCATION
Seminars in Oncology Nursing,SEMIN ONCOL NURS,ELSEVIER SCIENCE INC,0749-2081,1878-3449,NURSING,"SCIE, SSCI","2,688",2.3,Q1,0.84,27.43%,SEMINARS IN ONCOLOGY NURSING
Advances in Life Course Research,ADV LIFE COURSE RES,ELSEVIER SCI LTD,1569-4909,1879-6974,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"1,382",2.4,Q1,1.15,54.39%,ADVANCES IN LIFE COURSE RESEARCH
Applied Numerical Mathematics,APPL NUMER MATH,ELSEVIER,0168-9274,1873-5460,"MATHEMATICS, APPLIED",SCIE,"6,678",2.4,Q1,1.34,15.21%,APPLIED NUMERICAL MATHEMATICS
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,ARCH RATION MECH AN,SPRINGER,0003-9527,1432-0673,"MATHEMATICS, APPLIED",SCIE,"12,250",2.4,Q1,1.04,39.82%,ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS
AUSTRALIAN EDUCATIONAL RESEARCHER,AUST EDUC RES,SPRINGER,0311-6999,2210-5328,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"1,743",2.4,Q1,1.18,80.78%,AUSTRALIAN EDUCATIONAL RESEARCHER
Clinics,CLINICS,ELSEVIER ESPANA,1807-5932,1980-5322,"MEDICINE, GENERAL & INTERNAL",SCIE,"5,137",2.4,Q1,0.56,100%,CLINICS
CLINICS IN PERINATOLOGY,CLIN PERINATOL,W B SAUNDERS CO-ELSEVIER INC,0095-5108,1557-9840,PEDIATRICS,SCIE,"3,150",2.4,Q1,1.21,0%,CLINICS IN PERINATOLOGY
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,ELSEVIER SCI LTD,0145-305X,1879-0089,VETERINARY SCIENCES,SCIE,"10,115",2.4,Q1,1.08,10.37%,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,DEV COMP IMMUNOL,ELSEVIER SCI LTD,0145-305X,1879-0089,ZOOLOGY,SCIE,"10,115",2.4,Q1,1.08,10.37%,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY
European Annals of Otorhinolaryngology-Head and Neck Diseases,EUR ANN OTORHINOLARY,"ELSEVIER MASSON, CORP OFF",1879-7296,1879-730X,OTORHINOLARYNGOLOGY,SCIE,"1,828",2.4,Q1,1,6.72%,EUROPEAN ANNALS OF OTORHINOLARYNGOLOGY-HEAD AND NECK DISEASES
European Journal of Political Economy,EUR J POLIT ECON,ELSEVIER SCIENCE INC,0176-2680,1873-5703,POLITICAL SCIENCE,SSCI,"4,380",2.4,Q1,0.98,35.47%,EUROPEAN JOURNAL OF POLITICAL ECONOMY
Geriatric Nursing,GERIATR NURS,MOSBY-ELSEVIER,0197-4572,1528-3984,NURSING,"SCIE, SSCI","4,037",2.4,Q1,0.87,14.59%,GERIATRIC NURSING
Higher Education Policy,HIGH EDUC POLICY,PALGRAVE MACMILLAN LTD,0952-8733,1740-3863,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"1,376",2.4,Q1,0.96,14.73%,HIGHER EDUCATION POLICY
Innovative Higher Education,INNOV HIGH EDUC,SPRINGER,0742-5627,1573-1758,EDUCATION & EDUCATIONAL RESEARCH,ESCI,"1,384",2.4,Q1,1.32,31.98%,INNOVATIVE HIGHER EDUCATION
JOURNAL OF INVERTEBRATE PATHOLOGY,J INVERTEBR PATHOL,ACADEMIC PRESS INC ELSEVIER SCIENCE,0022-2011,1096-0805,ZOOLOGY,SCIE,"7,339",2.4,Q1,1.81,21.58%,JOURNAL OF INVERTEBRATE PATHOLOGY
Journal of Perinatology,J PERINATOL,SPRINGERNATURE,0743-8346,1476-5543,PEDIATRICS,SCIE,"9,511",2.4,Q1,1.04,16.30%,JOURNAL OF PERINATOLOGY
JOURNAL OF PHONETICS,J PHONETICS,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0095-4470,1095-8576,LINGUISTICS,SSCI,"3,868",2.4,Q1,1.9,44.27%,JOURNAL OF PHONETICS
JOURNAL OF VOICE,J VOICE,MOSBY-ELSEVIER,0892-1997,1873-4588,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,SCIE,"8,284",2.4,Q1,1.43,6.09%,JOURNAL OF VOICE
JOURNAL OF VOICE,J VOICE,MOSBY-ELSEVIER,0892-1997,1873-4588,OTORHINOLARYNGOLOGY,SCIE,"8,284",2.4,Q1,1.43,6.09%,JOURNAL OF VOICE
JOURNAL OF WOOD SCIENCE,J WOOD SCI,SPRINGER JAPAN KK,1435-0211,1611-4663,"MATERIALS SCIENCE, PAPER & WOOD",SCIE,"3,496",2.4,Q1,0.9,100%,JOURNAL OF WOOD SCIENCE
Physical Therapy in Sport,PHYS THER SPORT,CHURCHILL LIVINGSTONE,1466-853X,N/A,REHABILITATION,SCIE,"3,711",2.4,Q1,1,30.50%,PHYSICAL THERAPY IN SPORT
PREVENTIVE VETERINARY MEDICINE,PREV VET MED,ELSEVIER,0167-5877,1873-1716,VETERINARY SCIENCES,SCIE,"9,332",2.4,Q1,1.2,46.69%,PREVENTIVE VETERINARY MEDICINE
Regional Studies in Marine Science,REG STUD MAR SCI,ELSEVIER,2352-4855,2352-4855,MARINE & FRESHWATER BIOLOGY,SCIE,"6,133",2.4,Q1,0.75,10.40%,REGIONAL STUDIES IN MARINE SCIENCE
Resuscitation Plus,RESUSC PLUS,ELSEVIER,2666-5204,2666-5204,EMERGENCY MEDICINE,ESCI,"1,246",2.4,Q1,0.85,99.27%,RESUSCITATION PLUS
Sexuality Research and Social Policy,SEX RES SOC POLICY,SPRINGER,1868-9884,1553-6610,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"2,729",2.4,Q1,1.21,41.93%,SEXUALITY RESEARCH AND SOCIAL POLICY
SOCIAL NETWORKS,SOC NETWORKS,ELSEVIER,0378-8733,1879-2111,ANTHROPOLOGY,SSCI,"6,786",2.4,Q1,1.74,41.62%,SOCIAL NETWORKS
SOCIAL NETWORKS,SOC NETWORKS,ELSEVIER,0378-8733,1879-2111,SOCIOLOGY,SSCI,"6,786",2.4,Q1,1.74,41.62%,SOCIAL NETWORKS
ZDM-Mathematics Education,ZDM-MATH EDUC,SPRINGER HEIDELBERG,1863-9690,1863-9704,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"3,924",2.4,Q1,1.3,57.10%,ZDM-MATHEMATICS EDUCATION
ACTA TROPICA,ACTA TROP,ELSEVIER,0001-706X,1873-6254,TROPICAL MEDICINE,SCIE,"11,826",2.5,Q1,0.95,14.07%,ACTA TROPICA
Animal Biotelemetry,ANIM BIOTELEM,SPRINGERNATURE,N/A,2050-3385,MARINE & FRESHWATER BIOLOGY,SCIE,"1,032",2.5,Q1,0.8,100%,ANIMAL BIOTELEMETRY
Applied Research in Quality of Life,APPL RES QUAL LIFE,SPRINGER,1871-2584,1871-2576,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"2,868",2.5,Q1,1.44,37.99%,APPLIED RESEARCH IN QUALITY OF LIFE
Clinical Simulation in Nursing,CLIN SIMUL NURS,ELSEVIER SCIENCE INC,1876-1399,1876-1402,NURSING,"SCIE, SSCI","3,559",2.5,Q1,1.48,15.64%,CLINICAL SIMULATION IN NURSING
COMPUTATIONAL & APPLIED MATHEMATICS,COMPUT APPL MATH,SPRINGER HEIDELBERG,2238-3603,1807-0302,"MATHEMATICS, APPLIED",SCIE,"5,017",2.5,Q1,1.45,7.85%,COMPUTATIONAL & APPLIED MATHEMATICS
COMPUTERS & MATHEMATICS WITH APPLICATIONS,COMPUT MATH APPL,PERGAMON-ELSEVIER SCIENCE LTD,0898-1221,1873-7668,"MATHEMATICS, APPLIED",SCIE,"18,354",2.5,Q1,1.61,11.84%,COMPUTERS & MATHEMATICS WITH APPLICATIONS
Crop Protection,CROP PROT,ELSEVIER SCI LTD,0261-2194,1873-6904,AGRONOMY,SCIE,"13,661",2.5,Q1,0.84,13.47%,CROP PROTECTION
Current Developmental Disorders Reports,CURR DEV DISORD REP,SPRINGERNATURE,N/A,2196-2987,REHABILITATION,ESCI,839,2.5,Q1,0.88,30.99%,CURRENT DEVELOPMENTAL DISORDERS REPORTS
Econometrics and Statistics,ECONOMET STAT,ELSEVIER,2468-0389,2452-3062,ECONOMICS,ESCI,567,2.5,Q1,0.97,18.80%,ECONOMETRICS AND STATISTICS
Econometrics and Statistics,ECONOMET STAT,ELSEVIER,2468-0389,2452-3062,STATISTICS & PROBABILITY,ESCI,567,2.5,Q1,0.97,18.80%,ECONOMETRICS AND STATISTICS
EPJ Data Science,EPJ DATA SCI,SPRINGER,N/A,2193-1127,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,583",2.5,Q1,1.06,100%,EPJ DATA SCIENCE
EPJ Data Science,EPJ DATA SCI,SPRINGER,N/A,2193-1127,"SOCIAL SCIENCES, MATHEMATICAL METHODS",SSCI,"1,583",2.5,Q1,1.06,100%,EPJ DATA SCIENCE
European Journal of Wood and Wood Products,EUR J WOOD WOOD PROD,SPRINGER,0018-3768,1436-736X,"MATERIALS SCIENCE, PAPER & WOOD",SCIE,"3,596",2.5,Q1,0.92,29.65%,EUROPEAN JOURNAL OF WOOD AND WOOD PRODUCTS
Forensic Science International,FORENSIC SCI INT,ELSEVIER IRELAND LTD,0379-0738,1872-6283,"MEDICINE, LEGAL",SCIE,"15,438",2.5,Q1,1.17,31.36%,FORENSIC SCIENCE INTERNATIONAL
GEOMETRIC AND FUNCTIONAL ANALYSIS,GEOM FUNCT ANAL,SPRINGER BASEL AG,1016-443X,1420-8970,MATHEMATICS,SCIE,"2,979",2.5,Q1,2.05,41.12%,GEOMETRIC AND FUNCTIONAL ANALYSIS
GROUP DECISION AND NEGOTIATION,GROUP DECIS NEGOT,SPRINGER,0926-2644,1572-9907,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"1,420",2.5,Q1,1.12,24.24%,GROUP DECISION AND NEGOTIATION
HEARING RESEARCH,HEARING RES,ELSEVIER,0378-5955,1878-5891,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY,SCIE,"10,017",2.5,Q1,1.15,32%,HEARING RESEARCH
HEARING RESEARCH,HEARING RES,ELSEVIER,0378-5955,1878-5891,OTORHINOLARYNGOLOGY,SCIE,"10,017",2.5,Q1,1.15,32%,HEARING RESEARCH
HYDROBIOLOGIA,HYDROBIOLOGIA,SPRINGER,0018-8158,1573-5117,MARINE & FRESHWATER BIOLOGY,SCIE,"24,254",2.5,Q1,0.76,30.50%,HYDROBIOLOGIA
International Journal of Educational Research,INT J EDUC RES,ELSEVIER SCI LTD,0883-0355,1873-538X,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"5,126",2.5,Q1,1.19,39.38%,INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH
JOURNAL OF ARCHAEOLOGICAL SCIENCE,J ARCHAEOL SCI,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0305-4403,1095-9238,ANTHROPOLOGY,SSCI,"14,383",2.5,Q1,1.67,42.35%,JOURNAL OF ARCHAEOLOGICAL SCIENCE
JOURNAL OF CRIMINAL JUSTICE,J CRIM JUST,ELSEVIER,0047-2352,1873-6203,CRIMINOLOGY & PENOLOGY,SSCI,"4,405",2.5,Q1,1.74,18.21%,JOURNAL OF CRIMINAL JUSTICE
JOURNAL OF GREAT LAKES RESEARCH,J GREAT LAKES RES,ELSEVIER SCI LTD,0380-1330,0380-1330,LIMNOLOGY,SCIE,"6,157",2.5,Q1,0.75,35.92%,JOURNAL OF GREAT LAKES RESEARCH
JOURNAL OF GREAT LAKES RESEARCH,J GREAT LAKES RES,ELSEVIER SCI LTD,0380-1330,0380-1330,MARINE & FRESHWATER BIOLOGY,SCIE,"6,157",2.5,Q1,0.75,35.92%,JOURNAL OF GREAT LAKES RESEARCH
Journal of Industrial and Business Economics,J IND BUS ECON,SPRINGERNATURE,0391-2078,1972-4977,ECONOMICS,ESCI,501,2.5,Q1,0.65,40.87%,JOURNAL OF INDUSTRIAL AND BUSINESS ECONOMICS
Journal of International Relations and Development,J INT RELAT DEV,PALGRAVE MACMILLAN LTD,1408-6980,1581-1980,INTERNATIONAL RELATIONS,SSCI,971,2.5,Q1,1.3,1.25%,JOURNAL OF INTERNATIONAL RELATIONS AND DEVELOPMENT
Journal of International Relations and Development,J INT RELAT DEV,PALGRAVE MACMILLAN LTD,1408-6980,1581-1980,POLITICAL SCIENCE,SSCI,971,2.5,Q1,1.3,1.25%,JOURNAL OF INTERNATIONAL RELATIONS AND DEVELOPMENT
JOURNAL OF MARINE SYSTEMS,J MARINE SYST,ELSEVIER,0924-7963,1879-1573,MARINE & FRESHWATER BIOLOGY,SCIE,"7,180",2.5,Q1,0.82,17.88%,JOURNAL OF MARINE SYSTEMS
JOURNAL OF OCCUPATIONAL REHABILITATION,J OCCUP REHABIL,SPRINGER/PLENUM PUBLISHERS,1053-0487,1573-3688,REHABILITATION,SSCI,"3,044",2.5,Q1,0.88,58.85%,JOURNAL OF OCCUPATIONAL REHABILITATION
JOURNAL OF OCCUPATIONAL REHABILITATION,J OCCUP REHABIL,SPRINGER/PLENUM PUBLISHERS,1053-0487,1573-3688,SOCIAL ISSUES,SSCI,"3,044",2.5,Q1,0.88,58.85%,JOURNAL OF OCCUPATIONAL REHABILITATION
Journal of Pediatric Surgery,J PEDIATR SURG,W B SAUNDERS CO-ELSEVIER INC,0022-3468,1531-5037,PEDIATRICS,SCIE,"19,515",2.5,Q1,1.27,9.47%,JOURNAL OF PEDIATRIC SURGERY
Journal of Pediatric Surgery,J PEDIATR SURG,W B SAUNDERS CO-ELSEVIER INC,0022-3468,1531-5037,SURGERY,SCIE,"19,515",2.5,Q1,1.27,9.47%,JOURNAL OF PEDIATRIC SURGERY
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,J FORMOS MED ASSOC,ELSEVIER TAIWAN,0929-6646,1876-0821,"MEDICINE, GENERAL & INTERNAL",SCIE,"5,965",2.5,Q1,0.89,98.80%,JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION
Language Testing in Asia,LANG TEST ASIA,SPRINGERNATURE,N/A,2229-0443,EDUCATION & EDUCATIONAL RESEARCH,ESCI,615,2.5,Q1,1.91,100%,LANGUAGE TESTING IN ASIA
Language Testing in Asia,LANG TEST ASIA,SPRINGERNATURE,N/A,2229-0443,LINGUISTICS,ESCI,615,2.5,Q1,1.91,100%,LANGUAGE TESTING IN ASIA
MATHEMATICAL PROGRAMMING,MATH PROGRAM,SPRINGER HEIDELBERG,0025-5610,1436-4646,"MATHEMATICS, APPLIED",SCIE,"13,819",2.5,Q1,0.85,39.48%,MATHEMATICAL PROGRAMMING
MIDWIFERY,MIDWIFERY,ELSEVIER SCI LTD,0266-6138,1532-3099,NURSING,"SCIE, SSCI","7,205",2.5,Q1,1.19,44.66%,MIDWIFERY
NEUROSURGICAL REVIEW,NEUROSURG REV,SPRINGER,0344-5607,1437-2320,SURGERY,SCIE,"6,245",2.5,Q1,0.84,23.45%,NEUROSURGICAL REVIEW
POLITISCHE VIERTELJAHRESSCHRIFT,POLIT VIERTELJAHR,SPRINGER,0032-3470,1862-2860,POLITICAL SCIENCE,SSCI,582,2.5,Q1,1.11,96.40%,POLITISCHE VIERTELJAHRESSCHRIFT
POPULATION AND ENVIRONMENT,POPUL ENVIRON,SPRINGER,0199-0039,1573-7810,DEMOGRAPHY,SSCI,"1,967",2.5,Q1,1.03,40.79%,POPULATION AND ENVIRONMENT
Science & Education,SCI EDUC-NETHERLANDS,SPRINGER,0926-7220,1573-1901,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"2,505",2.5,Q1,1.72,35.53%,SCIENCE & EDUCATION
Science & Education,SCI EDUC-NETHERLANDS,SPRINGER,0926-7220,1573-1901,HISTORY & PHILOSOPHY OF SCIENCE,"AHCI, SCIE","2,505",2.5,Q1,1.72,35.53%,SCIENCE & EDUCATION
Seminars in Pediatric Surgery,SEMIN PEDIATR SURG,ELSEVIER SCIENCE INC,1055-8586,1532-9453,PEDIATRICS,SCIE,"2,495",2.5,Q1,0.86,8.02%,SEMINARS IN PEDIATRIC SURGERY
Seminars in Pediatric Surgery,SEMIN PEDIATR SURG,ELSEVIER SCIENCE INC,1055-8586,1532-9453,SURGERY,SCIE,"2,495",2.5,Q1,0.86,8.02%,SEMINARS IN PEDIATRIC SURGERY
Spatial Statistics,SPAT STAT-NETH,ELSEVIER SCI LTD,2211-6753,N/A,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS",SCIE,"1,539",2.5,Q1,0.81,27.20%,SPATIAL STATISTICS
Spatial Statistics,SPAT STAT-NETH,ELSEVIER SCI LTD,2211-6753,N/A,STATISTICS & PROBABILITY,SCIE,"1,539",2.5,Q1,0.81,27.20%,SPATIAL STATISTICS
THERIOGENOLOGY,THERIOGENOLOGY,ELSEVIER SCIENCE INC,0093-691X,1879-3231,VETERINARY SCIENCES,SCIE,"20,119",2.5,Q1,1.13,13.20%,THERIOGENOLOGY
TISSUE & CELL,TISSUE CELL,CHURCHILL LIVINGSTONE,0040-8166,N/A,ANATOMY & MORPHOLOGY,SCIE,"4,105",2.5,Q1,1.03,7.89%,TISSUE & CELL
WOMENS HEALTH ISSUES,WOMEN HEALTH ISS,ELSEVIER SCIENCE INC,1049-3867,1878-4321,WOMENS STUDIES,SSCI,"3,221",2.5,Q1,1.18,11.22%,WOMENS HEALTH ISSUES
World Journal of Surgical Oncology,WORLD J SURG ONCOL,BMC,N/A,1477-7819,SURGERY,SCIE,"9,000",2.5,Q1,0.93,100%,WORLD JOURNAL OF SURGICAL ONCOLOGY
Annals of PDE,ANN PDE,SPRINGERNATURE,2524-5317,2199-2576,MATHEMATICS,SCIE,691,2.6,Q1,1.69,26.03%,ANNALS OF PDE
Annals of PDE,ANN PDE,SPRINGERNATURE,2524-5317,2199-2576,"PHYSICS, MATHEMATICAL",SCIE,691,2.6,Q1,1.69,26.03%,ANNALS OF PDE
AQUATIC BOTANY,AQUAT BOT,ELSEVIER,0304-3770,1879-1522,MARINE & FRESHWATER BIOLOGY,SCIE,"5,348",2.6,Q1,0.71,23.29%,AQUATIC BOTANY
Asia-Pacific Financial Markets,ASIA-PAC FINANC MARK,SPRINGER,1387-2834,1573-6946,ECONOMICS,ESCI,501,2.6,Q1,0.77,8%,ASIA-PACIFIC FINANCIAL MARKETS
BMC EMERGENCY MEDICINE,BMC EMERG MED,BMC,1471-227X,1471-227X,EMERGENCY MEDICINE,SCIE,"2,796",2.6,Q1,1.33,100%,BMC EMERGENCY MEDICINE
BMC Primary Care,BMC PRIM CARE,BMC,N/A,2731-4553,"MEDICINE, GENERAL & INTERNAL",SCIE,"1,789",2.6,Q1,1.37,100%,BMC PRIMARY CARE
BMC Primary Care,BMC PRIM CARE,BMC,N/A,2731-4553,PRIMARY HEALTH CARE,SCIE,"1,789",2.6,Q1,1.37,100%,BMC PRIMARY CARE
BMC Veterinary Research,BMC VET RES,BMC,N/A,1746-6148,VETERINARY SCIENCES,SCIE,"11,666",2.6,Q1,1.29,99.92%,BMC VETERINARY RESEARCH
COMMUNICATIONS IN MATHEMATICAL PHYSICS,COMMUN MATH PHYS,SPRINGER,0010-3616,1432-0916,"PHYSICS, MATHEMATICAL",SCIE,"26,753",2.6,Q1,1,39.86%,COMMUNICATIONS IN MATHEMATICAL PHYSICS
Crime Science,CRIME SCI,BMC,N/A,2193-7680,CRIMINOLOGY & PENOLOGY,ESCI,754,2.6,Q1,1.65,100%,CRIME SCIENCE
CURRENT PSYCHOLOGY,CURR PSYCHOL,SPRINGER,1046-1310,1936-4733,"PSYCHOLOGY, MULTIDISCIPLINARY",SSCI,"18,919",2.6,Q1,0.97,23%,CURRENT PSYCHOLOGY
Diagnostic and Prognostic Research,DIAGN PROGN RES,SPRINGERNATURE,N/A,2397-7523,"MEDICINE, GENERAL & INTERNAL",ESCI,745,2.6,Q1,0.75,100%,DIAGNOSTIC AND PROGNOSTIC RESEARCH
ESTUARINE COASTAL AND SHELF SCIENCE,ESTUAR COAST SHELF S,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,0272-7714,1096-0015,MARINE & FRESHWATER BIOLOGY,SCIE,"20,524",2.6,Q1,0.9,29.98%,ESTUARINE COASTAL AND SHELF SCIENCE
EUROPEAN JOURNAL OF PEDIATRICS,EUR J PEDIATR,SPRINGER,0340-6199,1432-1076,PEDIATRICS,SCIE,"11,967",2.6,Q1,1.35,42.61%,EUROPEAN JOURNAL OF PEDIATRICS
European Journal of Population-Revue Europeenne de Demographie,EUR J POPUL,SPRINGER,0168-6577,1572-9885,DEMOGRAPHY,SSCI,"1,794",2.6,Q1,1.24,92.52%,EUROPEAN JOURNAL OF POPULATION-REVUE EUROPEENNE DE DEMOGRAPHIE
Frontiers in Zoology,FRONT ZOOL,BMC,1742-9994,1742-9994,ZOOLOGY,SCIE,"2,838",2.6,Q1,1.45,100%,FRONTIERS IN ZOOLOGY
Health & Justice,HEAL JUSTICE,SPRINGERNATURE,N/A,2194-7899,CRIMINOLOGY & PENOLOGY,ESCI,748,2.6,Q1,1.27,100%,HEALTH & JUSTICE
HEART & LUNG,HEART LUNG,MOSBY-ELSEVIER,0147-9563,1527-3288,NURSING,SCIE,"3,783",2.6,Q1,0.91,11.27%,HEART & LUNG
JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,J COMPUT APPL MATH,ELSEVIER,0377-0427,1879-1778,"MATHEMATICS, APPLIED",SCIE,"21,381",2.6,Q1,1.38,13.24%,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,SPRINGER,0938-8974,1432-1467,"MATHEMATICS, APPLIED",SCIE,"3,183",2.6,Q1,1.05,37.73%,JOURNAL OF NONLINEAR SCIENCE
JOURNAL OF NONLINEAR SCIENCE,J NONLINEAR SCI,SPRINGER,0938-8974,1432-1467,"PHYSICS, MATHEMATICAL",SCIE,"3,183",2.6,Q1,1.05,37.73%,JOURNAL OF NONLINEAR SCIENCE
Journal of Paleolithic Archaeology,J PALEOLITH ARCHAEOL,SPRINGERNATURE,N/A,2520-8217,ANTHROPOLOGY,ESCI,392,2.6,Q1,1.8,64.84%,JOURNAL OF PALEOLITHIC ARCHAEOLOGY
LABOUR ECONOMICS,LABOUR ECON,ELSEVIER,0927-5371,1879-1034,ECONOMICS,SSCI,"4,750",2.6,Q1,0.75,43.32%,LABOUR ECONOMICS
PEDIATRIC NEPHROLOGY,PEDIATR NEPHROL,SPRINGER,0931-041X,1432-198X,PEDIATRICS,SCIE,"11,575",2.6,Q1,0.95,28.78%,PEDIATRIC NEPHROLOGY
Research in Developmental Disabilities,RES DEV DISABIL,PERGAMON-ELSEVIER SCIENCE LTD,0891-4222,1873-3379,"EDUCATION, SPECIAL",SSCI,"10,529",2.6,Q1,1.97,31.63%,RESEARCH IN DEVELOPMENTAL DISABILITIES
Research in Developmental Disabilities,RES DEV DISABIL,PERGAMON-ELSEVIER SCIENCE LTD,0891-4222,1873-3379,REHABILITATION,SSCI,"10,529",2.6,Q1,1.97,31.63%,RESEARCH IN DEVELOPMENTAL DISABILITIES
AMERICAN JOURNAL OF SURGERY,AM J SURG,EXCERPTA MEDICA INC-ELSEVIER SCIENCE INC,0002-9610,1879-1883,SURGERY,SCIE,"18,298",2.7,Q1,1.27,4.51%,AMERICAN JOURNAL OF SURGERY
ANIMAL FEED SCIENCE AND TECHNOLOGY,ANIM FEED SCI TECH,ELSEVIER,0377-8401,1873-2216,"AGRICULTURE, DAIRY & ANIMAL SCIENCE",SCIE,"14,703",2.7,Q1,1.19,20.79%,ANIMAL FEED SCIENCE AND TECHNOLOGY
ANNALS OF FOREST SCIENCE,ANN FOREST SCI,SPRINGER FRANCE,1286-4560,1297-966X,FORESTRY,SCIE,"5,051",2.7,Q1,0.9,100%,ANNALS OF FOREST SCIENCE
Australian Critical Care,AUST CRIT CARE,ELSEVIER SCIENCE INC,1036-7314,1878-1721,NURSING,"SCIE, SSCI","2,338",2.7,Q1,1.23,21.53%,AUSTRALIAN CRITICAL CARE
BIOCONTROL,BIOCONTROL,SPRINGER,1386-6141,1573-8248,ENTOMOLOGY,SCIE,"3,200",2.7,Q1,1.15,33.53%,BIOCONTROL
BMC Pregnancy and Childbirth,BMC PREGNANCY CHILDB,BMC,N/A,1471-2393,OBSTETRICS & GYNECOLOGY,SCIE,"22,932",2.7,Q1,1.16,99.89%,BMC PREGNANCY AND CHILDBIRTH
BMC Womens Health,BMC WOMENS HEALTH,BMC,N/A,1472-6874,OBSTETRICS & GYNECOLOGY,SCIE,"9,705",2.7,Q1,0.98,100%,BMC WOMENS HEALTH
Current Research in Insect Science,CURR RES INSECT SCI,ELSEVIER,N/A,2666-5158,ENTOMOLOGY,ESCI,187,2.7,Q1,1.19,100%,CURRENT RESEARCH IN INSECT SCIENCE
ENGLISH FOR SPECIFIC PURPOSES,ENGL SPECIF PURP,PERGAMON-ELSEVIER SCIENCE LTD,0889-4906,1873-1937,LINGUISTICS,SSCI,"2,478",2.7,Q1,1.67,16.95%,ENGLISH FOR SPECIFIC PURPOSES
European Business Organization Law Review,EUR BUS ORGAN LAW RE,SPRINGER HEIDELBERG,1566-7529,1741-6205,LAW,SSCI,607,2.7,Q1,1.52,65.26%,EUROPEAN BUSINESS ORGANIZATION LAW REVIEW
EUROPEAN JOURNAL OF FOREST RESEARCH,EUR J FOREST RES,SPRINGER,1612-4669,1612-4677,FORESTRY,SCIE,"4,047",2.7,Q1,0.98,49.84%,EUROPEAN JOURNAL OF FOREST RESEARCH
